,TRADE TYPE,ASSET,SHARES,OUTCOME,Y,Y%,ENTRY DATE,EXIT DATE,ENTRY PRICE,EXIT PRICE,MAX,MIN,IS SIGNAL,CLOSE TOMORROW
0,Long,AAPL,7.6,-14.819976806640625,-1.9499969482421875,-1.47548191147732,2021-04-23,2021-05-07,132.16000366210938,130.2100067138672,137.07000732421875,126.69999694824219,False,False
1,Long,AAPL,7.4,84.43402709960938,11.410003662109375,8.486429097132493,2021-06-24,2021-08-11,134.4499969482422,145.86000061035156,150.0,132.80999755859375,False,False
2,Long,AAPL,5.8,-31.08800354003906,-5.3600006103515625,-3.1202704904184433,2022-04-08,2022-04-21,171.77999877929688,166.4199981689453,173.36000061035156,163.57000732421875,False,False
3,Long,AAPL,6.0,-44.75994873046875,-7.459991455078125,-4.4839764825523165,2022-08-08,2022-08-30,166.3699951171875,158.91000366210938,176.14999389648438,157.72000122070312,False,False
4,Long,AAPL,6.5,-14.169952392578125,-2.17999267578125,-1.4176048205787466,2023-02-09,2023-03-07,153.77999877929688,151.60000610351562,156.3300018310547,143.89999389648438,False,False
